;shap;shap;shap;shap;shap;shap;eccd;eccd;eccd;eccd;eccd;eccd;mutual_information;mutual_information;mutual_information;mutual_information;mutual_information;mutual_information;trl;trl;trl;trl;trl;trl;term_strength;term_strength;term_strength;term_strength;term_strength;term_strength;chi2;chi2;chi2;chi2;chi2;chi2;linear_measure_5;linear_measure_5;linear_measure_5;linear_measure_5;linear_measure_5;linear_measure_5;tfidf;tfidf;tfidf;tfidf;tfidf;tfidf;baseline;baseline;baseline;baseline;baseline;baseline
;precision_mean;precision_std;recall_mean;recall_std;f1-score_mean;f1-score_std;precision_mean;precision_std;recall_mean;recall_std;f1-score_mean;f1-score_std;precision_mean;precision_std;recall_mean;recall_std;f1-score_mean;f1-score_std;precision_mean;precision_std;recall_mean;recall_std;f1-score_mean;f1-score_std;precision_mean;precision_std;recall_mean;recall_std;f1-score_mean;f1-score_std;precision_mean;precision_std;recall_mean;recall_std;f1-score_mean;f1-score_std;precision_mean;precision_std;recall_mean;recall_std;f1-score_mean;f1-score_std;precision_mean;precision_std;recall_mean;recall_std;f1-score_mean;f1-score_std;precision_mean;precision_std;recall_mean;recall_std;f1-score_mean;f1-score_std
50;0.9661967083622838;0.00036347647462798595;0.9646179454955309;0.0004219709095735769;0.9649684044566991;0.0004137988953921828;0.9439884869992161;0.0020563237338443816;0.942019639167199;0.0019378988218132379;0.9423953321552594;0.0019536230273181263;0.9545203529636257;0.0010362969650168938;0.9519653080909654;0.0011708027559719624;0.9524128869994805;0.001157398918753115;0.7110036895648636;0.006629488691031835;0.7076784095942059;0.007493786313071316;0.706561175183386;0.007655016043452048;0.9445986268418339;0.0009461094845496322;0.9424261288719287;0.0008991690780206833;0.9428247167514314;0.0009038869574818198;0.9539133024018053;0.00037376821745089623;0.9516137577960982;0.0002765312606138665;0.9520354563762427;0.00028004023582179027;0.9457834332242328;0.0008073721124015881;0.9435363812051092;0.0007410312730368205;0.943943997179306;0.0007474644944441268;0.9263380065094529;0.005502527274274118;0.9205831652523783;0.0064444936631610165;0.9211239573206477;0.006424953390173904;0.9931043924483056;9.527319495028688e-05;0.992779909262274;9.945909461573106e-05;0.9928994809814352;9.824863508458293e-05
100;0.9800370318403004;0.0003871444146362422;0.9792686181301212;0.00039996081122262763;0.9794925475504452;0.0003974350440395827;0.9645270834783432;0.0005128606183882147;0.963390393469307;0.00048416621421656865;0.9636728246269157;0.0004882185687869972;0.9724792058285763;0.0010623557174815322;0.9712358224062264;0.0011240656108811769;0.9715404872871106;0.0011145433105641503;0.7097831689912188;0.00636799277624685;0.7063788460368479;0.0072446566768852114;0.7052251490583247;0.0074094823005373825;0.9691135236891041;0.0004204476393256778;0.9674636138682944;0.0004762899312917354;0.9678262779738054;0.0004688604321101971;0.972088576202432;0.0009950916931407115;0.9708149223032742;0.0010374808903497222;0.9711241443958507;0.0010309854703879071;0.9698671890143709;0.0003340173470329667;0.9683008591543834;0.00034973205471731776;0.968652621759593;0.00034727254200254243;0.9634243750872178;0.001089912259172503;0.9613424010318552;0.0011819807060125924;0.9617536083428574;0.0011726029970187226;0.9931043924483056;9.527319495028688e-05;0.992779909262274;9.945909461573106e-05;0.9928994809814352;9.824863508458293e-05
200;0.9874271481841322;0.00023495155035503897;0.9869008968981052;0.0002470209490452891;0.9870730268587128;0.0002441478667704332;0.9767972272867521;0.00040913214796545666;0.9759126976380006;0.0003949505520462899;0.9761579015587533;0.00039728376634301933;0.9821614707439071;0.0003636371038767282;0.981333373175862;0.0003817314192692948;0.981569974366996;0.00037827795576342413;0.7091310204614746;0.006103743377143891;0.705671889837071;0.00697306618934471;0.7044877925532224;0.007135320306474741;0.9808128611804768;0.0002834957199529927;0.9798888527051387;0.00029729634824405816;0.9801434559731149;0.0002946955809216573;0.9819078890487931;0.0003960864562917416;0.9810817327702397;0.00043014256205010904;0.9813176076610717;0.0004236208875231652;0.9810108955982921;0.0003722894397207002;0.9800806035054167;0.0003875674808329155;0.9803363636319273;0.00038471072416964663;0.975988165735296;0.0006688932279777718;0.9747904484471086;0.0006972897112026277;0.9750906837250704;0.000693004262261683;0.9931043924483056;9.527319495028688e-05;0.992779909262274;9.945909461573106e-05;0.9928994809814352;9.824863508458293e-05
500;0.991849106330634;9.246212468502512e-05;0.9914952970242572;0.00010038562919991124;0.9916231161420528;9.812516755810015e-05;0.9847481741031983;0.0002955910774684881;0.9840376482735632;0.000312747635931507;0.9842509079125523;0.00030919118070147234;0.9875238942861758;0.00025383405509242713;0.9869676358243007;0.0002693738445903493;0.9871469415545284;0.0002657537424567737;0.7089904362291615;0.0059528217956675185;0.7054699810824653;0.006789759311894864;0.7042642760526989;0.006946383054268312;0.9875339060041115;0.00036579636906880584;0.9869155376651928;0.0003842280036721176;0.98710921784572;0.00038014411008731606;0.9874076943053879;0.0003043751915238193;0.9868484066392824;0.00033356156343310005;0.9870281588200214;0.00032690070072892105;0.9876744901209094;0.0003495844482299184;0.9870663635847761;0.00036829111556030235;0.9872577448885203;0.00036414811802421454;0.9840901588945912;0.00042545677026045665;0.9832722161211416;0.00044818779935889007;0.9835073875003635;0.00044376231594548294;0.9931043924483056;9.527319495028688e-05;0.992779909262274;9.945909461573106e-05;0.9928994809814352;9.824863508458293e-05
1000;0.9926385798907778;4.298340635701999e-05;0.9923013366155651;4.5890950383712865e-05;0.9924245527871365;4.500858053108647e-05;0.9872493202940502;0.00029462723264536076;0.9866344958579969;0.0003129556347605251;0.9868272453212906;0.00030889269563077023;0.9889737827611487;0.00014492185713297194;0.9884927915680205;0.00015521363593061748;0.9886540634990244;0.00015267930886656892;0.711578545389927;0.006041662425525515;0.7081028023873147;0.006666505714069113;0.7069154968712859;0.006724925090355225;0.9898155747290224;0.00012921365444214244;0.989319963627038;0.0001371004933426903;0.9894850470284744;0.00013514171473535123;0.9890754404992179;0.00019280856980508234;0.9885874270255541;0.00020181529862004763;0.988750468751235;0.000199586196021625;0.9898937025696328;0.00012343947911693935;0.9894027947629918;0.00013225346321064265;0.9895667126512997;0.00013005870016123978;0.9886487458924268;0.00015945396250515053;0.9881159765926683;0.0001643710574856344;0.988289989736856;0.0001632323370143714;0.9931043924483056;9.527319495028688e-05;0.992779909262274;9.945909461573106e-05;0.9928994809814352;9.824863508458293e-05
3000;0.9924755563930017;7.697698606840612e-05;0.9921275696953383;8.150642695344368e-05;0.9922538326453744;8.02126148777049e-05;0.9895931185897993;0.00021422733469056524;0.989107476168526;0.00022935430862016995;0.9892699208259241;0.00022558258558762927;0.9909996759014896;0.00010587852483894969;0.9905889537234026;0.00011125612821770496;0.9907323253179176;0.00010978921547726606;0.8269750888425398;0.005433947027254547;0.8264102111200596;0.005430812328735857;0.8262091656052937;0.005343406441040627;0.9916696525158809;0.0001031377132152493;0.9912763141553629;0.00010751620618897299;0.991415093215549;0.00010631881373016426;0.9910576213014295;0.0001217279947918968;0.9906488443886788;0.00012892905455487593;0.9907916994311419;0.00012700969973932844;0.9916915462276841;9.952469847238562e-05;0.9912987040704039;0.00010290645789237963;0.9914373568672639;0.00010197828519612283;0.9909227091725832;0.00017090510459565964;0.9905055699119494;0.0001760857065217336;0.9906506504028968;0.000174742158808162;0.9931043924483056;9.527319495028688e-05;0.992779909262274;9.945909461573106e-05;0.9928994809814352;9.824863508458293e-05
5000;0.9924846985888471;0.0001251839708243578;0.9921342971596175;0.0001314285208542864;0.9922612351387086;0.0001296655146162915;0.9903852214526975;5.0783322440864216e-05;0.9899218980708172;5.6762395261708715e-05;0.9900789473345043;5.522157767826459e-05;0.9916307803403553;6.179224177253287e-05;0.9912399176961957;6.88027029572129e-05;0.9913780111173203;6.688046085215687e-05;0.8577595978636049;0.003467721125505008;0.857071322669461;0.0035770252330225715;0.8569747741951295;0.0034823220706568297;0.992154086779166;0.0001115699900474853;0.9917886878790462;0.00011590377015394139;0.9919198306975756;0.00011470265496058994;0.9917312505030118;0.00012711306048491342;0.9913451387471905;0.0001364484647015704;0.9914819184575243;0.00013387054512849474;0.9921470031246041;0.00010039162969275799;0.9917811321964664;0.0001038006186009083;0.9919124081959481;0.00010285461589771225;0.9914852129172284;0.00020336607044120063;0.991090463660995;0.0002108239882483876;0.9912295728905006;0.00020881802407464182;0.9931043924483056;9.527319495028688e-05;0.992779909262274;9.945909461573106e-05;0.9928994809814352;9.824863508458293e-05
10000;0.9924768999162519;6.746156642151578e-05;0.9921270159599072;6.87378736919286e-05;0.9922538214745031;6.834147512611357e-05;0.9913573851362962;0.00014171608062301825;0.9909547491065714;0.00015195075691146976;0.9910959659664975;0.00014918459181714096;0.9920819397435858;0.00013250374957125483;0.9917136874385077;0.0001376501714685665;0.9918456119923013;0.00013622887931781231;0.8774042829646685;0.004860447340296155;0.8766437134020485;0.004880605273275881;0.8765886724704675;0.004788994556413886;0.9925575222974562;8.365897115614253e-05;0.9922090225873206;8.822488934472055e-05;0.9923354465807968;8.692965935903136e-05;0.9921017621590538;8.517316206461016e-05;0.9917369039819522;8.747313447378036e-05;0.9918678955310887;8.683808956790473e-05;0.9925575272342826;8.900316849232246e-05;0.9922090225873206;9.382297152950864e-05;0.9923354463628465;9.2456968462572e-05;0.9920367682982721;0.00016391587147441172;0.9916694571041307;0.00016997681482923817;0.9918010946874294;0.00016831624611563667;0.9931043924483056;9.527319495028688e-05;0.992779909262274;9.945909461573106e-05;0.9928994809814352;9.824863508458293e-05
15000;0.9925154115951607;7.506266687359678e-05;0.9921740011923303;8.052403387807992e-05;0.9922983922387306;7.895252301784679e-05;0.9917707845280269;0.000153981641422108;0.9913812607234881;0.00016142751815270833;0.9915189963448103;0.00015939112271876952;0.992277224468255;0.00012771006963025223;0.9919160243622127;0.00013392609298637045;0.9920459936670433;0.00013219424058460373;0.8780867741211329;0.004619671809072442;0.8773409435263568;0.004644793852527297;0.8772874855296775;0.004546693588846879;0.992721875214062;9.948127792430349e-05;0.9923822400118422;0.00010342444905421524;0.9925061527781827;0.00010230024695678229;0.9922835415439332;7.374323661000015e-05;0.9919238545276621;7.585229430258285e-05;0.9920534247113413;7.527563452749073e-05;0.9927141152640621;9.305868036504524e-05;0.9923749604020292;9.697303613181325e-05;0.99249873587969;9.585626603308624e-05;0.992214483945131;0.00017748017305398096;0.9918580609066472;0.00018518466590300295;0.9919866584934907;0.00018305799236205224;0.9931043924483056;9.527319495028688e-05;0.992779909262274;9.945909461573106e-05;0.9928994809814352;9.824863508458293e-05
25000;0.9928475350748556;5.2629925711572786e-05;0.992519059387299;5.477411703655475e-05;0.9926397735523743;5.414878816293979e-05;0.9922581634925958;0.00012167057029312587;0.9918925317460012;0.0001300360812101589;0.9920237079430088;0.000127686268996297;0.9924619710143417;4.1101737114689245e-05;0.9921121833173432;4.122782024876514e-05;0.9922389823531919;4.120670009098125e-05;0.8974085712283092;0.007530197888205342;0.8966543999978562;0.007580149124993565;0.8966178729531205;0.007482341864718191;0.9927793023243826;0.00011423442296302717;0.9924424056899536;0.00011965899962524918;0.9925655254627657;0.00011810010410903615;0.9925167316748379;0.0001201690237790843;0.9921734501067279;0.00012491788066775072;0.9922983787114354;0.00012356237980612404;0.9927793125801095;0.00011767312000082377;0.9924424056899536;0.00012343307912995391;0.9925655251741234;0.00012177479509626783;0.9924786309833576;0.0001549912150978483;0.9921367754549306;0.00016115097960262763;0.992261282714787;0.00015943242644612295;0.9931043924483056;9.527319495028688e-05;0.992779909262274;9.945909461573106e-05;0.9928994809814352;9.824863508458293e-05
