;shap;shap;shap;shap;shap;shap;lfs;lfs;lfs;lfs;lfs;lfs;f_val;f_val;f_val;f_val;f_val;f_val;mutual_information;mutual_information;mutual_information;mutual_information;mutual_information;mutual_information;baseline;baseline;baseline;baseline;baseline;baseline
;precision_mean;precision_std;recall_mean;recall_std;f1-score_mean;f1-score_std;precision_mean;precision_std;recall_mean;recall_std;f1-score_mean;f1-score_std;precision_mean;precision_std;recall_mean;recall_std;f1-score_mean;f1-score_std;precision_mean;precision_std;recall_mean;recall_std;f1-score_mean;f1-score_std;precision_mean;precision_std;recall_mean;recall_std;f1-score_mean;f1-score_std
1;0.8540136577198929;0.010049121917253542;0.8793604250419534;0.012103138670553902;0.8605588399149706;0.011248904518867758;0.7361761641180447;0.014242192645264929;0.7637249732679031;0.013842833435444374;0.738741285875978;0.01566393205502317;0.7790340810509162;0.006699760170483616;0.8089490717838504;0.006329593819384421;0.7860080907757792;0.006440009506870891;0.8575073236948239;0.00957068826942205;0.8889857839801525;0.009390205548369418;0.86414827783977;0.010797188680861967;0.9509954390498416;0.0017959383988063811;0.946660886976049;0.0021678957405402172;0.9478473439696306;0.0021057700732566996
2;0.9607785037861722;0.007050630989535135;0.9654719291206183;0.0033090471557620698;0.9626128234332286;0.005509165987585635;0.8162109505604909;0.008293486032923153;0.8450489517257875;0.008398787996809718;0.824542628359269;0.008342720920906663;0.8527522270430248;0.01518928118480939;0.8671573956598835;0.011434799379495562;0.8567982702343494;0.013342349591738347;0.9562459864166246;0.007883872332367916;0.9610473705213518;0.0032848841373209936;0.9578405521991151;0.00599335640830606;0.9509954390498416;0.0017959383988063811;0.946660886976049;0.0021678957405402172;0.9478473439696306;0.0021057700732566996
3;0.9499891368932069;0.006165829866916651;0.9637238774034032;0.002960103266310047;0.9559417017708718;0.00481220303059011;0.8633694403931095;0.010419725025963287;0.8883055941961813;0.011430147806998189;0.8729428283249128;0.010914760242305763;0.9368354377596961;0.01176339836755283;0.9543302284802347;0.007112479595593258;0.9436517870411635;0.01007743648487769;0.9484336230431445;0.008716582925970882;0.9612984733206481;0.004151895921898879;0.9535346138855714;0.007161962401967695;0.9509954390498416;0.0017959383988063811;0.946660886976049;0.0021678957405402172;0.9478473439696306;0.0021057700732566996
4;0.9487249213744804;0.00793692618029293;0.9666706450932046;0.004488440571912415;0.9562584408477199;0.006876127854682322;0.9294167028545415;0.010474734932528785;0.9363685243326539;0.013210221652537504;0.9318259780837529;0.011974586521297605;0.9362634690119155;0.010449693623342459;0.956579882375126;0.0065478257656049945;0.944514364469887;0.009199446407348594;0.9450644669018148;0.007204438083792131;0.9611462523946305;0.003558034163320815;0.9517408282429936;0.0059617212302288825;0.9509954390498416;0.0017959383988063811;0.946660886976049;0.0021678957405402172;0.9478473439696306;0.0021057700732566996
5;0.9588420358345825;0.005071727747471842;0.9726203592801115;0.002248746728546985;0.9650148713448541;0.0037827005257761058;0.9279783673278923;0.012148353145702485;0.9417235669335244;0.009553046200214663;0.9330954516637542;0.011119872556549412;0.9411462830254012;0.00970350221337214;0.9615303908349139;0.005813522115840374;0.9495229456206997;0.008438788661416164;0.9493645579238297;0.005805087258247058;0.9636843055717215;0.0035569270264547053;0.9556883098958784;0.004845730560141656;0.9509954390498416;0.0017959383988063811;0.946660886976049;0.0021678957405402172;0.9478473439696306;0.0021057700732566996
6;0.9573185135743039;0.004997870503138888;0.973706895053024;0.0027424376301688723;0.9646096599286563;0.0040490218546708;0.942138483769652;0.00650057984680028;0.9596559875893249;0.005254660896937177;0.9498361857077068;0.006006780356265136;0.9538630377215694;0.005563931931865924;0.9696092786228835;0.00268072509737056;0.9608585081772715;0.0043649091215892865;0.9563740152342615;0.005961597878498045;0.967504443930998;0.0035859682965176153;0.9612381330849799;0.0048595324876275795;0.9509954390498416;0.0017959383988063811;0.946660886976049;0.0021678957405402172;0.9478473439696306;0.0021057700732566996
7;0.9556045070824783;0.00474398067034382;0.9725592584379938;0.002485771981252375;0.963098398379454;0.0037463238392839307;0.9442811746384739;0.010704058815796271;0.9622866366485001;0.007497565058548675;0.9518599916886841;0.009611376699014297;0.9588208710030044;0.005036577555016033;0.9735058706796555;0.0026440403257593573;0.9654175966303985;0.003967822853545326;0.9524743970832278;0.006055844783626467;0.9702255190118505;0.003130311545463127;0.9601806183621516;0.004787602253204583;0.9509954390498416;0.0017959383988063811;0.946660886976049;0.0021678957405402172;0.9478473439696306;0.0021057700732566996
8;0.9555114348067312;0.004413639528958507;0.9739587104956284;0.002340552232664969;0.9637178335829454;0.0035138981305728964;0.9603835721051757;0.006026420158082987;0.9736441570623878;0.0035201708327338393;0.9662898910373311;0.00492735899926648;0.9529671454864932;0.004471482765256614;0.9726933408428561;0.0024971568313985485;0.9616040339018651;0.003686095838075018;0.952905285979184;0.0061153902327939205;0.971079035014278;0.003268516371002684;0.9607851052430222;0.00486565422871507;0.9509954390498416;0.0017959383988063811;0.946660886976049;0.0021678957405402172;0.9478473439696306;0.0021057700732566996
9;0.9575220915913587;0.005101946940170876;0.9739646463621776;0.0025457028675814047;0.9648022933086364;0.0039946734380310895;0.9603257777520277;0.007663247077048259;0.9760559068322049;0.004028146849735772;0.9671881716448552;0.0061894871788686365;0.9540402109438585;0.0034616564273948994;0.973561936251617;0.0021849924348912734;0.9627017643234245;0.002947042629592857;0.956492154269803;0.0059877171146903605;0.9733916354862917;0.002882715818568176;0.9638792363106923;0.004599896754747831;0.9509954390498416;0.0017959383988063811;0.946660886976049;0.0021678957405402172;0.9478473439696306;0.0021057700732566996
10;0.955649193059662;0.005205777547699725;0.9737495725398185;0.0025846344515874434;0.9635999512164567;0.004078731350950058;0.9569965372488406;0.00728836725491083;0.9747103939631815;0.0036323985539564595;0.9646893121728738;0.00582189315550324;0.955854124941405;0.004587209597030579;0.9735163183824158;0.0022578290266039827;0.9636492159262705;0.0035556140394752576;0.9541868718728045;0.00542673884147512;0.972874481791905;0.002802106424088275;0.9623444389811396;0.004307494836278565;0.9509954390498416;0.0017959383988063811;0.946660886976049;0.0021678957405402172;0.9478473439696306;0.0021057700732566996
11;0.9599258212218323;0.0048703207070339245;0.9763841604455763;0.002234573867833251;0.967271493497089;0.0036978634769049444;0.9540234507920875;0.005923119266628273;0.9731886984050895;0.002895991517668243;0.9623756634439123;0.004679203305070615;0.9565428613450724;0.004443684678551096;0.9741098000282051;0.002269680471018143;0.9643201946393105;0.0034811788119783692;0.9542982975523152;0.005458523720874152;0.9727576485960172;0.002713923143035953;0.9623403959790258;0.004274113666737499;0.9509954390498416;0.0017959383988063811;0.946660886976049;0.0021678957405402172;0.9478473439696306;0.0021057700732566996
12;0.9588331071297242;0.004401203808682362;0.9750782523905487;0.0022542400122865527;0.9661051659791469;0.0034004492790396536;0.9582195573577467;0.006228200550995136;0.9750724324558728;0.002949546055257798;0.9655845225622872;0.004814152923749654;0.9563968317806945;0.0044211549268699;0.9741322719230847;0.002243456991733096;0.964245043098311;0.0034571543912742825;0.9578152943416699;0.004715855658196127;0.9743733049058652;0.002325162531872154;0.9651935008960557;0.003620661361115239;0.9509954390498416;0.0017959383988063811;0.946660886976049;0.0021678957405402172;0.9478473439696306;0.0021057700732566996
