;shap;shap;shap;shap;shap;shap;f_val;f_val;f_val;f_val;f_val;f_val;lfs;lfs;lfs;lfs;lfs;lfs;mutual_information;mutual_information;mutual_information;mutual_information;mutual_information;mutual_information;baseline;baseline;baseline;baseline;baseline;baseline
;precision_mean;precision_std;recall_mean;recall_std;f1-score_mean;f1-score_std;precision_mean;precision_std;recall_mean;recall_std;f1-score_mean;f1-score_std;precision_mean;precision_std;recall_mean;recall_std;f1-score_mean;f1-score_std;precision_mean;precision_std;recall_mean;recall_std;f1-score_mean;f1-score_std;precision_mean;precision_std;recall_mean;recall_std;f1-score_mean;f1-score_std
1;0.9032078914571109;0.005277066353006644;0.8828519044979124;0.007475829483999712;0.885042744349126;0.007354447772009791;0.9028844827409699;0.0052991836224708985;0.8824043448762044;0.007493084768469864;0.8845912085485669;0.007380692500440384;0.9031803018268457;0.005207838364140157;0.8821792456338953;0.007457901725928999;0.8844109382518222;0.007325669512390468;0.9032078914571109;0.005277066353006644;0.8828519044979124;0.007475829483999712;0.885042744349126;0.007354447772009791;0.9509954390498416;0.0017959383988063811;0.946660886976049;0.0021678957405402172;0.9478473439696306;0.0021057700732566996
2;0.903231431784115;0.00527212177098861;0.8828508372685618;0.0074760180804398614;0.8850406349303996;0.0073548951839795896;0.8982687630786333;0.004238502922959589;0.877341663302088;0.006158678493765993;0.8793355023980484;0.00604722588467663;0.9023386589015209;0.006026580464012295;0.8807232536248117;0.008703968298128549;0.8827505606172028;0.00876560368682448;0.902738744802862;0.005021116155193548;0.8825482206769844;0.007240795703593888;0.8847157111020605;0.00711665527265039;0.9509954390498416;0.0017959383988063811;0.946660886976049;0.0021678957405402172;0.9478473439696306;0.0021057700732566996
3;0.9034481400501498;0.005245375037318853;0.8823552815476605;0.0075871887499756535;0.884583460524308;0.0074505163847370616;0.8978244807073132;0.004325012491594259;0.8768677413013837;0.00622694194088664;0.8788581115810874;0.0061243187695721145;0.9011849447016106;0.006121213759489023;0.8808992211302205;0.00883394749656548;0.8829360509664921;0.008907107940764214;0.9015539594206367;0.005209473071179915;0.8805574407922409;0.00754726694491275;0.8826811741714561;0.007469557356627244;0.9509954390498416;0.0017959383988063811;0.946660886976049;0.0021678957405402172;0.9478473439696306;0.0021057700732566996
4;0.903052842956237;0.005012420851013063;0.8820751584346647;0.007429562316867788;0.884276786584443;0.007271994686651631;0.8973182766844093;0.004212710491984895;0.8764795984852768;0.006147627806634791;0.878457723096869;0.00604057277142559;0.8960017808902986;0.004973955957849068;0.8769232177439374;0.00710040335774412;0.8788819848268037;0.007145825476163078;0.8992264396428549;0.005965277116654848;0.8798331590079039;0.007968710138716726;0.8819743083825464;0.0078613426729893;0.9509954390498416;0.0017959383988063811;0.946660886976049;0.0021678957405402172;0.9478473439696306;0.0021057700732566996
5;0.902640617939025;0.004970025444947736;0.8816599692293139;0.007386853126029063;0.8838638060517594;0.007221783775913763;0.8963956721979031;0.004334391610548986;0.8745175663566837;0.006112774850545108;0.8764778336503192;0.006030126112788335;0.8926501803138424;0.005506206560277828;0.8791820367038887;0.007700699987656845;0.8798281300727824;0.007606161855915802;0.8942257381910572;0.007395964084547575;0.8775312238569795;0.008908444041243184;0.8797060091386177;0.008843845590321595;0.9509954390498416;0.0017959383988063811;0.946660886976049;0.0021678957405402172;0.9478473439696306;0.0021057700732566996
6;0.9021731732968746;0.004848515924640114;0.8816809398657094;0.007183208205265054;0.8839092850940954;0.007006215474585784;0.8961552909258884;0.00429839934856249;0.8743753417647258;0.006085989695740556;0.8763283478708852;0.005998517010625981;0.8859395725135555;0.004748332933626943;0.8640458310932135;0.007758665375690094;0.8648088816516626;0.007305454721893852;0.8935605633032848;0.006978688283217435;0.8782171897959665;0.008464950458813403;0.8802600120680782;0.008406501343392887;0.9509954390498416;0.0017959383988063811;0.946660886976049;0.0021678957405402172;0.9478473439696306;0.0021057700732566996
7;0.8958944924285731;0.003762738041667521;0.8760889261326691;0.005278841698805774;0.8780802294302055;0.005187025332002067;0.8963168102092526;0.004330377391371984;0.8738298625463916;0.005974007038432389;0.8759992580566072;0.005936680212983101;0.8730161470209004;0.007744387173293334;0.8506641507561342;0.010604044819899959;0.8504218419461195;0.010941950760675485;0.8901298598116367;0.006503751045336143;0.8795728692076015;0.00831406474259195;0.880574740376846;0.008154926097186998;0.9509954390498416;0.0017959383988063811;0.946660886976049;0.0021678957405402172;0.9478473439696306;0.0021057700732566996
8;0.8959723783069269;0.006061841510531686;0.879712574856493;0.007328838180537425;0.8812673519923313;0.007466116704255976;0.8924245852655173;0.004459063298663176;0.8745530580400432;0.0057759959608913464;0.8766071787861222;0.0056682323046834664;0.8516276337225129;0.01225147092608353;0.8334525521188599;0.013421903931115704;0.8337418427479897;0.013108406793722473;0.885402705017561;0.006796933213387529;0.8782002786242769;0.008375524333647038;0.8787181954348716;0.008348766065706649;0.9509954390498416;0.0017959383988063811;0.946660886976049;0.0021678957405402172;0.9478473439696306;0.0021057700732566996
9;0.8920760668540305;0.006283003941957095;0.8718510031451107;0.008220562607987056;0.8733779217801159;0.008514989582092543;0.8855020773930692;0.0041931189322251;0.8678084009044161;0.005480157467385188;0.8697173213118023;0.005333813833835088;0.834149614951048;0.01380974036570722;0.8310181498389204;0.014549142498072674;0.829729060765594;0.014383593294776441;0.8856136960597393;0.006555580755848353;0.8770826056422246;0.00834775290946636;0.8764862138697517;0.00882339425157718;0.9509954390498416;0.0017959383988063811;0.946660886976049;0.0021678957405402172;0.9478473439696306;0.0021057700732566996
10;0.8708162718286493;0.005838998930252035;0.8453632626265277;0.007306938159758539;0.8456903857447614;0.007827113888429375;0.8598669763704567;0.00759503452549902;0.8455338060109335;0.006619734347949352;0.8455169030056858;0.007224187059073826;0.8110595507305802;0.014513966548515672;0.8074116721910686;0.014777944695111286;0.805932954457149;0.015170709966772406;0.8627214230749324;0.009349309778090032;0.8338698132147243;0.013149680570738035;0.8335202407865772;0.013720740180501631;0.9509954390498416;0.0017959383988063811;0.946660886976049;0.0021678957405402172;0.9478473439696306;0.0021057700732566996
11;0.856377508798056;0.004239168916513392;0.8279439269614235;0.0065960549035742715;0.8291227564897046;0.006477588674826609;0.8191612947843783;0.007525391406313568;0.806463895778108;0.007549330888492236;0.8046403989564137;0.00779181761702257;0.7762863443845965;0.01179134433376827;0.7704374387738965;0.01341686090900623;0.7674468513196268;0.014685584161594363;0.8570775869783374;0.009190393799408588;0.8267088800876818;0.012110690895067935;0.8265959762677035;0.012815481513562405;0.9509954390498416;0.0017959383988063811;0.946660886976049;0.0021678957405402172;0.9478473439696306;0.0021057700732566996
12;0.8017859557142255;0.005858299107396838;0.7691895912122504;0.006255569779845648;0.767636226038532;0.007345926976015043;0.8017859557142255;0.005858299107396838;0.7691895912122504;0.006255569779845648;0.767636226038532;0.007345926976015043;0.7283997022666242;0.013344115645649208;0.7068998222633246;0.011789306182593537;0.7024775322224968;0.012678609273458109;0.7675412810401326;0.01077313716294401;0.7209840957256218;0.014940301411571356;0.7121279636461442;0.018129056518481335;0.9509954390498416;0.0017959383988063811;0.946660886976049;0.0021678957405402172;0.9478473439696306;0.0021057700732566996
